Sl No,DISTRICT/UNITS,MURDER,ATTEMPT TO MURDER,RAPE,DACOITY,ROBBERY,BURGLARY-DAY,BURGLARY-NIGHT,THEFT,RIOTS,CASES OF HURT,CRUELTY BY HUSBAND,DOWRY DEATHS,FATAL MOTOR ACCIDENTS,NON-FATAL MOTOR ACCIDENTS,MOLESTATION,SC/ST,GAMBLING,DP ACT,CYBER CRIME,POCSO,POCSO RAPE
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,176,450,167,67,693,181,763,9605,72,3828,614,25,876,3903,1251,240,498,876,17682,586,415
2,Mysuru City,22,39,23,2,45,9,82,356,10,309,17,5,160,970,59,24,51,119,272,65,49
3,Hubballi Dharwad City,22,85,20,3,28,22,64,221,28,170,95,4,102,334,72,47,386,0,247,63,42
4,Mangaluru City,10,53,23,3,19,18,36,206,14,187,20,0,169,854,81,18,217,39,149,63,29
5,Belagavi City,15,66,11,5,28,23,81,270,57,173,62,3,130,390,54,35,125,3,105,28,16
6,Kalaburagi City,25,48,24,2,34,17,83,308,70,192,74,2,113,366,55,43,239,36,43,24,14
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,66,128,28,36,90,87,266,1588,111,625,153,5,723,1847,231,96,150,46,875,133,81
8,Ramanagara,40,69,10,13,42,40,131,500,36,517,49,1,408,1177,205,54,107,39,242,116,96
9,Tumakuru,52,130,33,14,87,48,216,738,53,742,51,5,737,1901,323,115,514,104,331,174,131
10,Kolar,28,60,3,3,31,24,70,236,100,356,26,5,260,546,90,45,120,17,64,103,86
11,Chickballapura,27,49,17,6,20,27,90,300,135,457,53,2,311,546,128,42,315,11,197,183,156
12,K.G.F,12,32,8,0,6,13,63,87,10,150,9,1,65,129,43,13,18,17,100,44,35
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,30,83,17,2,25,18,100,443,218,702,121,4,413,1280,398,55,512,53,80,147,110
14,Davanagere,27,84,24,7,48,31,151,424,171,326,59,5,283,746,194,62,484,72,143,107,77
15,Shivamogga,36,144,17,11,42,41,132,428,180,734,86,2,361,1139,272,84,419,99,136,220,173
16,Haveri,22,56,18,4,14,29,129,470,205,233,33,2,262,568,111,48,475,22,130,125,109
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,12,30,8,1,10,13,57,164,31,192,31,0,148,707,73,27,17,2,115,68,37
18,Udupi,6,35,13,8,16,20,71,312,37,248,63,0,225,990,65,43,114,11,222,60,35
19,Chikkamagaluru,31,51,12,4,9,22,74,232,44,521,77,1,237,713,152,50,176,6,102,121,89
20,Uttara Kannada,17,52,12,4,13,20,79,184,75,389,42,0,248,727,221,51,349,18,109,81,60
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,70,119,17,8,19,40,141,428,228,447,113,3,696,1243,188,85,841,13,71,128,94
22,Bagalkot,20,85,9,7,8,20,77,275,89,132,35,2,367,495,146,58,463,20,47,63,50
23,Vijayapur,63,99,32,5,11,33,100,350,124,367,103,2,417,569,122,92,584,7,86,96,71
24,Dharwad,19,25,6,2,9,9,34,104,55,107,22,1,186,285,28,35,214,1,68,46,38
25,Gadag,17,24,8,0,8,15,36,169,91,93,20,1,148,164,49,38,440,8,70,37,32
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,30,70,13,4,16,30,118,429,133,340,84,4,283,559,84,55,467,39,35,64,47
27,Bidar,31,54,11,3,11,19,115,303,137,556,117,2,315,744,52,27,459,23,44,59,40
28,Yadgir,22,53,16,0,1,16,39,195,145,210,46,0,153,286,128,53,470,18,23,50,44
,Southern Range,,,,,,,,,,,,,,,,,,,,,
30,Mysuru Dist,49,64,16,0,41,34,212,467,134,850,112,3,443,1600,252,44,156,10,58,138,110
31,Mandya,26,78,13,8,34,44,125,344,68,603,65,4,500,1598,227,67,274,38,76,149,111
32,Chamarajanagar,11,53,14,1,16,11,88,151,52,358,26,3,234,535,194,38,115,14,29,89,65
33,Hassan,44,122,27,19,47,56,154,396,67,899,89,6,459,1757,234,93,168,65,141,154,123
34,Kodagu,24,37,4,2,8,22,62,108,5,274,21,0,82,420,55,42,32,6,90,78,59
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
35,Ballari,18,53,14,2,9,17,81,323,96,204,110,1,215,338,73,36,691,11,119,54,35
36,Koppal,18,39,20,6,10,21,77,218,51,110,57,2,271,392,107,58,623,0,38,66,54
37,Raichur,39,78,20,6,18,26,73,568,214,267,117,2,318,366,178,80,875,65,30,92,81
38,Vijayanagara,19,59,13,1,11,11,52,215,86,158,71,2,205,358,111,27,688,14,28,75,65
,Karnataka Railways,13,6,0,2,33,1,0,733,0,19,0,0,2,0,6,1,0,0,2,5,1
,Coastal Security Police,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,
,CID,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
,Total,1209,2862,742,271,1610,1128,4322,22848,3432,17045,2943,110,11525,31542,6312,2121,12877,1942,22402,3954,2960
