Sl No,Heads of Crime,2024
1,A - IPC Crime,
,Murder (Sec.302/303 IPC),
,For gain,38
,Over Property Dispute,24
,Due to Personal Vendetta or enemity,25
,Due to Sexual jealousy,16
,For dowry by burning,0
,For dowry by other means,11
,Due to Communalism,0
,Due to Casteism,3
,Witch Craft (Sorcery),0
,For Human Sacrifice,2
,Due to Terrorism/Naxalism / Extremism,0
,For Political Reasons,0
,Due to Adultery,25
,Civil Disputes,57
,Electoral Gain,0
,Gang Rivalry,1
,Love Intrigue,25
,Professional,0
,Psychopathic/Serial Killer/Lunacy,0
,Rape with Murder,8
,Revenge/Enemity,59
,Sudden Quarrel,104
,Village Dispute,0
,Custodial,0
,Due to Other Causes,810
,Sub Total,1208
2,ATTEMPT TO MURDER (Sec. 307 IPC),
,For Gain,22
,Over Property Dispute,76
,Due to Personal Vendetta or enemity,79
,Due to Sexual jealousy,22
,For Dowry other Means,35
,Dowry By Burning,0
,Due to Communalism,5
,Due to Casteism,3
,Witch Craft (Sorcery),0
,For Human Sacrifice,1
,Terrorism /Naxalism / Extremism,0
,For Political Reasons,12
,Adultery,14
,Electoral Gain,2
,Gang Rivalry,1
,Love Intrigue,18
,Professional,3
,Rape,0
,Revenge/Enemity,253
,Sudden Quarrel,274
,Village Dispute,9
,Due to Other Causes,1764
,Civil Disputes,273
,Sub Total,2866
3,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),
,For Gain,0
,Over Civil Dispute,1
,Due to Personal Vendetta or enemity,0
,Due to Sexual jealousy,0
,For Dowry,0
,Due to Communalism,0
,Due to Casteism,0
,Witch Craft (Sorcery),0
,For Human Sacrifice,2
,Terrorism /Naxalism / Extremism,0
,For Political Reasons,0
,Adultery,0
,Property Disputes,2
,Electoral Gain,1
,Gang Rivalry,0
,Love Intrigue,0
,Professional,0
,Sudden Quarrel,13
,Due to Other Causes,105
,Sub Total,124
4,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),
,For Gain,0
,Over Civil Dispute,3
,Due to Personal Vendetta or enemity,1
,Due to Sexual jealousy,0
,For Dowry,0
,Due to Communalism,1
,Due to Casteism,0
,Witch Craft (Sorcery),0
,For Human Sacrifice,0
,Terrorism /Naxalism / Extremism,0
,For Political Reasons,1
