Sl No,Head of Crime,2024
1,ANTIQUES (CULTURAL PROPERTY),
,Antiques & Art Treasures Act 1972,0
,Ancient Monument & Archaelogical Sites And Remains Act 1958,9
,Sub Total,9
2,ARMS ACT 1959,
,Country Made - Non Prohibited Bore - In Disturbed Area,19
,Country Made - Non Prohibited Bore - In Other Area,102
,Country Made - Prohibited Bore - In Disturbed Area,15
,Country Made - Prohibited Bore - In Other Area,76
,Factory Made - Non Prohibited Bore - In Disturbed Area,5
,Factory Made - Non Prohibited Bore - In Other Area,26
,Factory Made - Prohibited Bore - In Disturbed Area,4
,Factory Made - Prohibited Bore - In Other Area,32
,Sub Total,279
3,ANIMAL,
,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,143
,Wild Life Preservation Act 1972,0
,Wild Life Protection Act 1972,2
,Prevention of Cruelty to Animals Act 1960,174
,Elephant (Preservation) Act 1879,0
,Cattle Tresspass Act 1871,4
,Sub Total,323
4,CINEMATOGRAPHY ACT 1952,
,Films,2
,Video,0
,Sub Total,2
,CONSUMER,
5,Liquified Petroleum Gas Supply & Control Order 2000,68
,Consumer (Protection) Act 1986,7
,Essential Commodities Act 1955,427
,Prevention of Food Adulternation Act 1954,3
,Packaged Commodities (Regulation) order 1975,0
,Sub Total,505
6,COPY RIGHT ACT 1957,
,By Company,145
,By Individual,83
,Sub Total,228
7,CIVIL RIGHTS,
,Protection of Civil Rights Act 1955,4
,Sub Total,4
8,SCHEDULED CASTE AND THE SCHEDULED TRIBES,
,Scheduled Caste,1285
,Scheduled Tribes,236
,Scheduled Caste Women,494
,Scheduled Tribes Women,110
,Sub Total,2125
9,CHILDREN ACT,
,Child Labour (Prohibition & Regulation) Act1986,105
,Child Marriage (Restraint) Act - 1929,152
,Juvenile Justice Act 1986,142
,Probation of offenders Act 1958,1
,Protection of Children from Sexual Offences Act 2012 (POCSO),0
,Sub Total,400
10,PREVENTION OF CORRUPTION ACT 1988,
,Public Servant - Elected,0
,Public Servant - Gazetted - Central,0
,Public Servant - Gazetted - Defence,0
,Public Servant - Gazetted - Public Sector,0
,Undertaking,0
,Public Servant - Gazetted - State,0
,Public Servant - Non-Gazetted - Central,0
,Public Servant - Non-Gazetted - Defence,0
,Public Servant - Non-Gazetted - State,0
,Sub Total,0
11,CUSTOMS,
,Customs Act 1962,0
,Import/Export (Control) Act 1947,0
,Sub Total,0
12,Explosives,
,Explosives Substances Act 1908,30
,Explosives Act 1884,112
,Inflammable Substance Act 1952,0
,Sub Total,142
13,FOREIGN EXCHANGE,
,Smugglers and Foreign Exchange Manipulator Act 1976,0
,Foreign Exchange Regulation Act 1973,0
,Foreign Exchange Regulation Act 1952,0
,Sub Total,0
14,FOREIGNER,
,Foreigners Act 1946,57
,Registration of Foreigners Act 1939,0
,Sub Total,57
15,FOREST,
,Indian Forest Act 1927,2
,Forest (Conservation) Act 1980,8
,Sub Total,10
16,HIJACKING,
,Foreign Aircraft - In India,0
,Foreign Aircraft - Outside India,0
,Indian Aircraft - In India,0
,Indian Aircraft - Outside India,0
,Sub Total,0
17,IMMORAL TRAFFIC,
,Organised,215
,Un-Organised,84
,Sub Total,299
18,BONDED LABOUR SYSTEM,4
19,INDIAN MOTOR VEHICLE,305
20,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,
,Cultivated/Processed,1653
,Synthetic,2534
,Sub Total,4187
21,PASSPORT ACT,
,Foreigner,3
,Indian,2
,Sub Total,5
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,
,Assembly,19
,Parliament,104
,Other Elected Bodies,10
,Sub Total,133
23,KARNATAKA POLICE ACT 1963,
,Gambling - Matka (78 Class C),5874
,Street Gambling (87),6304
,House Gambling (79 & 80),264
,Betting,432
,Others,516
,Sub Total,13390
24,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,155
25,"POST & TELEGRAPH, TELEGRAPH WIRES UNLAWFUL POSSESSION) ACT 1980",2
26,OFFICIAL SECURITY RELATED ACTS,
,Official Secrets Act 1923,0
,Essential Services Maintenance Act 1981,0
,Sub Total,0
27,PREVENTION OF TERRORISM ACT (POTA),0
28,RAILWAYS ACT,
,Indian Railways Act 1989,1
,Railway Property (Unlawful Possession) Act 1966,0
,Sub Total,1
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,7
30,CRIMES RELATED TO WOMEN,
,Dowry Prohibition,1913
,Commission of SATI (Prevention) Act 1987,0
,Indecent Representation of Women (Prohibition) Act 1986,1
,Sub Total,1914
